match_id,round,map,bot1_id,bot1_name,bot2_id,bot2_name,result_type,game_steps,duration_minutes,is_timeout,match_created,match_started,result_created
4667918,41408,149,827,smokinggunbot,1023,MY_SCRIPTING_SON,Player1Win,22536,16.77,False,2026-03-04T20:34:27.634410Z,2026-03-04T21:49:55.488130Z,2026-03-04T22:01:35.219712Z
4667864,41408,156,262,whalemean,338,smallBly,Tie,35920,26.73,False,2026-03-04T20:34:26.807348Z,2026-03-04T21:53:58.869687Z,2026-03-04T22:02:10.303663Z
4667946,41408,154,797,WickedBot,605,nida,Player1Win,12808,9.53,False,2026-03-04T20:34:28.105608Z,2026-03-04T22:07:10.993089Z,2026-03-04T22:15:15.894798Z
4667932,41408,152,708,Princess-Mika,718,Mulebot,Player2Win,17399,12.95,False,2026-03-04T20:34:27.848212Z,2026-03-04T22:05:09.303451Z,2026-03-04T22:17:14.287008Z
4667879,41408,150,340,MechaShark,346,Sharkling,Player2Win,12435,9.25,False,2026-03-04T20:34:27.019563Z,2026-03-04T22:13:16.400447Z,2026-03-04T22:17:40.701206Z
4667876,41408,154,943,puck,1038,PolyMorph,Player1Win,12636,9.4,False,2026-03-04T20:34:26.945554Z,2026-03-04T22:18:51.096499Z,2026-03-04T22:22:53.066777Z
4667945,41408,155,167,TyrT,1032,WaterLeak,Player1Win,15794,11.75,False,2026-03-04T20:34:28.043491Z,2026-03-04T22:17:49.838165Z,2026-03-04T22:25:00.524718Z
4667870,41408,155,943,puck,948,titania,Player1Win,14390,10.71,False,2026-03-04T20:34:26.903762Z,2026-03-04T22:25:27.257374Z,2026-03-04T22:29:11.219697Z
4667888,41408,149,948,titania,971,Nothing,Player2Win,8876,6.6,False,2026-03-04T20:34:27.135620Z,2026-03-04T22:45:47.187959Z,2026-03-04T22:47:59.164749Z
4667889,41408,154,948,titania,1038,PolyMorph,Player2Win,22929,17.06,False,2026-03-04T20:34:27.143640Z,2026-03-04T22:44:45.893500Z,2026-03-04T22:57:04.141091Z
4667955,41408,156,961,AvocaDOS,1032,WaterLeak,Tie,60488,45.01,False,2026-03-04T20:34:28.228567Z,2026-03-04T22:29:01.028949Z,2026-03-04T23:02:02.172020Z
4667921,41408,151,827,smokinggunbot,1038,PolyMorph,Player1Win,35892,26.71,False,2026-03-04T20:34:27.705932Z,2026-03-04T22:32:34.994929Z,2026-03-04T23:08:39.857577Z
4667936,41408,149,759,BotTato,201,QueenBot,Player2Win,47940,35.67,False,2026-03-04T20:34:27.929128Z,2026-03-04T21:46:20.506451Z,2026-03-04T23:28:40.100733Z
4667924,41408,156,1023,MY_SCRIPTING_SON,1038,PolyMorph,Player1Win,15154,11.28,False,2026-03-04T20:34:27.727854Z,2026-03-04T23:23:53.496711Z,2026-03-04T23:29:13.262304Z
