bot_lo,bot_hi,bot_lo_name,bot_hi_name,elo_lo,elo_hi,N_normal,N_timelimit,N_abnormal,alpha_normal,alpha_timelimit,alpha_abnormal,W,L,D,n_dur,x_bar,E_A,alpha_win,alpha_draw,alpha_loss,mu_duration,sigma_duration
40,1058,SharpenedEdge,JimmyBotP,1872,1711,1,0,0,5.652125,0.12592,0.22196,0,1,0,1,1.745716,0.716424,3.539957,0.05885,2.401193,2.248709,0.200824
40,1059,SharpenedEdge,NextProBot,1872,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.827178,4.087211,0.05885,0.853939,2.349308,0.219992
40,1060,SharpenedEdge,WildFire,1872,1709,18,0,0,22.652125,0.12592,0.22196,14,4,0,18,2.201305,0.718757,17.551485,0.05885,5.389665,2.233479,0.102572
40,1065,SharpenedEdge,MindMatrix,1872,1514,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.887036,4.382977,0.05885,0.558173,2.349308,0.219992
40,1066,SharpenedEdge,CompetitiveBotTest,1872,1482,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.90422,4.467887,0.05885,0.473263,2.349308,0.219992
40,1067,SharpenedEdge,Hello_world,1872,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.827178,4.087211,0.05885,0.853939,2.349308,0.219992
40,1078,SharpenedEdge,LoremIpsum,1872,1242,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.974082,4.813087,0.05885,0.128063,2.349308,0.219992
40,1079,SharpenedEdge,JimmyBotT,1872,1675,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.756581,3.738378,0.05885,1.202772,2.349308,0.219992
40,1080,SharpenedEdge,JimmyBot,1872,1675,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.756581,3.738378,0.05885,1.202772,2.349308,0.219992
40,1081,SharpenedEdge,ArtZerg,1872,1537,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.873074,4.313989,0.05885,0.627161,2.349308,0.219992
40,1082,SharpenedEdge,Dasyatis,1872,1573,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.848281,4.191484,0.05885,0.749666,2.349308,0.219992
40,1084,SharpenedEdge,ZippyZap,1872,1457,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.915979,4.525992,0.05885,0.415158,2.349308,0.219992
40,1085,SharpenedEdge,AgoraLord,1872,1430,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.927193,4.581402,0.05885,0.359748,2.349308,0.219992
40,1086,SharpenedEdge,CherBoiBlue,1872,1500,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.894863,4.421651,0.05885,0.519499,2.349308,0.219992
40,1087,SharpenedEdge,SwarmLord2,1872,1533,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.875604,4.326489,0.05885,0.614661,2.349308,0.219992
40,1088,SharpenedEdge,SwarmLord3,1872,1562,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.856252,4.23087,0.05885,0.71028,2.349308,0.219992
40,1089,SharpenedEdge,WorkingAsIntended,1872,1596,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.830445,4.103353,0.05885,0.837797,2.349308,0.219992
49,51,MicroMachine,Krillin,1950,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.882338,4.359766,0.05885,0.581384,2.349308,0.219992
49,112,MicroMachine,Tyckles,1950,1427,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.953052,4.709173,0.05885,0.231977,2.349308,0.219992
49,115,MicroMachine,BenBotBC,1950,2043,36,0,8,40.652125,0.12592,8.22196,6,30,0,36,1.876051,0.36927,7.824617,0.05885,33.116533,1.933765,0.076824
49,117,MicroMachine,Chance,1950,1384,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.487404,0.962965,5.758155,0.05885,0.182995,2.372324,0.200824
49,167,MicroMachine,TyrT,1950,1873,38,0,6,42.652125,0.12592,6.22196,7,31,0,38,2.092959,0.609033,10.009321,0.05885,32.931829,2.122767,0.075016
49,168,MicroMachine,sharkbot,1950,1845,38,2,4,42.652125,2.12592,4.22196,22,13,3,38,2.572376,0.646669,25.195288,3.05885,14.745862,2.546438,0.075016
49,201,MicroMachine,QueenBot,1950,1614,1,0,1,5.652125,0.12592,1.22196,1,0,0,1,2.629728,0.87371,5.317134,0.05885,0.624016,2.396045,0.200824
49,223,MicroMachine,DominionDog,1950,1890,40,0,4,44.652125,0.12592,4.22196,35,5,0,40,2.534828,0.585499,37.893037,0.05885,7.048113,2.514215,0.073331
49,248,MicroMachine,Eris,1950,2221,37,0,7,41.652125,0.12592,7.22196,0,37,0,37,2.7365,0.173646,0.858013,0.05885,41.083137,2.690406,0.075904
49,262,MicroMachine,whalemean,1950,1797,36,0,8,40.652125,0.12592,8.22196,26,10,0,36,2.217264,0.706975,29.493271,0.05885,11.447879,2.233367,0.076824
49,275,MicroMachine,Lissy,1950,1569,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.899638,4.445248,0.05885,0.495902,2.349308,0.219992
49,338,MicroMachine,smallBly,1950,1834,34,0,6,38.652125,0.12592,6.22196,19,15,0,34,2.167808,0.660999,22.266096,0.05885,16.675054,2.191077,0.07877
49,340,MicroMachine,MechaShark,1950,1695,36,0,2,40.652125,0.12592,2.22196,32,4,0,36,2.276319,0.812738,36.015859,0.05885,4.925291,2.28522,0.076824
49,341,MicroMachine,gotest,1950,1328,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.972894,4.807215,0.05885,0.133935,2.349308,0.219992
49,346,MicroMachine,Sharkling,1950,1761,35,0,7,39.652125,0.12592,7.22196,26,9,0,35,2.240124,0.748,29.695978,0.05885,10.245172,2.253772,0.077779
49,347,MicroMachine,PhantomTest,1950,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.882338,4.359766,0.05885,0.581384,2.349308,0.219992
