round,bot_id,bot_name,elo,division
2,977,Siriusly,1518.62,3
2,943,puck,1518.57,3
2,1044,DoopyBot,1518.02,3
2,637,72Tortoises,1510.76,3
2,779,oberon,1508.14,3
2,117,Chance,1496.69,3
2,1085,AgoraLord,1494.04,3
2,352,Belzebuth,1487.17,3
2,1057,DoopyBot-Test,1486.6,3
2,729,Alexa,1485.56,3
2,809,PrimordialOrigin,1461.49,3
2,1078,LoremIpsum,1444.91,3
2,1052,Starlight,1435.21,3
2,1026,WildLupo,1393.49,3
2,1049,TheCatSC2Bot,1355.4,3
3,248,Eris,1858.96,1
3,730,Deimos,1836.37,1
3,49,MicroMachine,1826.8,1
3,496,Zozo,1814.56,1
3,115,BenBotBC,1795.47,1
3,446,Xena,1767.0,1
3,223,DominionDog,1755.64,1
3,1030,who,1753.92,1
3,966,ArgoBot,1741.91,1
3,517,VeTerran-revived,1729.62,1
3,167,TyrT,1724.7,1
3,40,SharpenedEdge,1724.31,1
3,732,GPT,1715.05,1
3,168,sharkbot,1706.81,1
3,759,BotTato,1704.13,1
3,510,PhantomBot,1683.12,1
3,262,whalemean,1682.19,1
3,338,smallBly,1671.04,1
3,357,12PoolBot,1665.26,1
3,340,MechaShark,1661.53,1
3,961,AvocaDOS,1657.46,1
3,1060,WildFire,1653.15,1
3,1045,tito,1649.68,1
3,1054,JimmyBotZ,1641.01,1
3,718,Mulebot,1639.93,1
3,1007,SharkGull,1631.87,1
3,858,Crawler,1627.33,1
3,1082,Dasyatis,1624.69,1
3,346,Sharkling,1623.53,2
3,953,ZeratulsRevengeTest,1623.05,2
3,797,WickedBot,1622.95,2
3,1089,WorkingAsIntended,1612.86,2
3,1080,JimmyBot,1612.2,2
3,605,nida,1611.34,2
3,960,BigDaddy,1611.01,2
3,275,Lissy,1609.11,2
3,1058,JimmyBotP,1605.87,2
3,901,clone,1604.43,2
3,720,PiG_Bot,1603.04,2
3,516,27turtles,1600.35,2
3,832,muravev,1600.17,2
3,637,72Tortoises,1599.32,2
3,518,norman,1597.8,2
3,971,Nothing,1589.4,2
3,970,TheLAW,1588.62,2
3,930,SiriusBot,1588.43,2
3,526,Apidae,1586.21,2
3,1079,JimmyBotT,1582.7,2
3,827,smokinggunbot,1580.93,2
3,876,GenesisLotus,1579.2,2
3,699,Clicadinha,1573.6,2
3,201,QueenBot,1573.1,2
3,836,muravevTerran,1568.06,2
3,1008,Creepy_canon,1564.18,2
3,1081,ArtZerg,1562.06,2
3,940,Princess-Mika-Test,1556.72,3
3,939,RustyNikolaj,1550.93,3
3,1050,onlyfans,1549.86,3
3,943,puck,1540.76,3
3,708,Princess-Mika,1537.52,3
3,1042,Creepy_duo_canon,1534.28,3
3,1044,DoopyBot,1533.15,3
3,998,LordSuperKing,1528.86,3
3,1023,MY_SCRIPTING_SON,1528.85,3
3,112,Tyckles,1524.77,3
3,981,KoB,1518.96,3
3,1085,AgoraLord,1517.04,3
3,729,Alexa,1514.37,3
3,977,Siriusly,1514.22,3
3,779,oberon,1510.58,3
3,721,49Terrapins,1502.74,3
3,1038,PolyMorph,1499.9,3
3,1065,MindMatrix,1498.92,3
3,117,Chance,1491.02,3
3,341,gotest,1482.71,3
3,1057,DoopyBot-Test,1466.54,3
3,809,PrimordialOrigin,1460.47,3
3,352,Belzebuth,1408.75,3
3,1052,Starlight,1392.87,3
3,1078,LoremIpsum,1389.44,3
3,1026,WildLupo,1367.16,3
3,1049,TheCatSC2Bot,1261.56,3
4,248,Eris,1947.92,1
4,730,Deimos,1925.19,1
4,49,MicroMachine,1875.15,1
4,496,Zozo,1825.55,1
4,115,BenBotBC,1786.81,1
4,446,Xena,1781.26,1
4,966,ArgoBot,1760.26,1
4,1030,who,1751.13,1
4,732,GPT,1749.66,1
4,223,DominionDog,1746.08,1
4,40,SharpenedEdge,1724.37,1
4,168,sharkbot,1721.78,1
4,797,WickedBot,1717.46,1
4,517,VeTerran-revived,1716.27,1
4,346,Sharkling,1716.26,1
4,338,smallBly,1699.23,1
4,167,TyrT,1690.39,1
4,357,12PoolBot,1681.61,1
4,759,BotTato,1678.56,1
4,1054,JimmyBotZ,1675.37,1
4,510,PhantomBot,1675.1,1
4,961,AvocaDOS,1664.6,1
4,953,ZeratulsRevengeTest,1655.5,1
4,340,MechaShark,1648.04,1
4,901,clone,1647.77,1
4,518,norman,1646.29,1
4,262,whalemean,1645.13,1
4,1079,JimmyBotT,1644.08,1
4,605,nida,1641.9,2
4,1045,tito,1636.8,2
4,970,TheLAW,1633.87,2
4,637,72Tortoises,1633.7,2
4,1060,WildFire,1626.41,2
4,1080,JimmyBot,1622.42,2
4,720,PiG_Bot,1614.81,2
4,1050,onlyfans,1611.12,2
4,718,Mulebot,1608.58,2
4,201,QueenBot,1607.92,2
4,832,muravev,1602.73,2
4,526,Apidae,1601.13,2
4,998,LordSuperKing,1592.72,2
4,1089,WorkingAsIntended,1588.85,2
4,1082,Dasyatis,1587.09,2
4,939,RustyNikolaj,1581.3,2
4,940,Princess-Mika-Test,1577.99,2
4,708,Princess-Mika,1576.55,2
4,516,27turtles,1574.14,2
4,827,smokinggunbot,1570.87,2
4,1008,Creepy_canon,1570.85,2
4,858,Crawler,1566.51,2
4,1044,DoopyBot,1559.05,2
4,275,Lissy,1558.46,2
4,960,BigDaddy,1556.43,2
4,1081,ArtZerg,1549.46,2
4,1007,SharkGull,1548.67,2
4,699,Clicadinha,1544.44,3
4,971,Nothing,1544.18,3
4,1065,MindMatrix,1541.33,3
4,977,Siriusly,1536.28,3
4,836,muravevTerran,1535.88,3
4,943,puck,1533.14,3
4,1058,JimmyBotP,1529.5,3
4,1085,AgoraLord,1527.9,3
4,1023,MY_SCRIPTING_SON,1522.27,3
4,981,KoB,1518.1,3
4,779,oberon,1504.64,3
4,1038,PolyMorph,1501.33,3
4,721,49Terrapins,1495.7,3
4,729,Alexa,1489.8,3
4,930,SiriusBot,1485.16,3
4,1042,Creepy_duo_canon,1483.92,3
4,876,GenesisLotus,1479.46,3
4,341,gotest,1474.73,3
4,112,Tyckles,1469.12,3
4,809,PrimordialOrigin,1460.77,3
4,1057,DoopyBot-Test,1437.03,3
4,352,Belzebuth,1421.66,3
4,117,Chance,1419.21,3
4,1052,Starlight,1399.53,3
4,1078,LoremIpsum,1375.64,3
4,1026,WildLupo,1355.17,3
4,1049,TheCatSC2Bot,1216.93,3
5,248,Eris,1985.36,1
5,730,Deimos,1946.76,1
5,496,Zozo,1887.87,1
5,49,MicroMachine,1858.88,1
5,115,BenBotBC,1840.7,1
5,446,Xena,1786.06,1
5,966,ArgoBot,1776.12,1
5,223,DominionDog,1767.19,1
5,40,SharpenedEdge,1751.52,1
5,1030,who,1745.26,1
5,262,whalemean,1741.37,1
5,517,VeTerran-revived,1725.92,1
5,732,GPT,1723.56,1
5,168,sharkbot,1721.98,1
5,797,WickedBot,1706.58,1
5,1045,tito,1705.81,1
5,167,TyrT,1700.6,1
5,346,Sharkling,1683.02,1
5,357,12PoolBot,1682.3,1
5,510,PhantomBot,1679.37,1
5,1060,WildFire,1676.46,1
5,338,smallBly,1673.75,1
5,605,nida,1672.24,1
5,759,BotTato,1663.04,1
5,637,72Tortoises,1646.71,1
5,901,clone,1645.69,1
5,526,Apidae,1645.37,1
5,953,ZeratulsRevengeTest,1642.05,1
5,720,PiG_Bot,1642.01,2
5,961,AvocaDOS,1637.76,2
5,971,Nothing,1634.59,2
5,1080,JimmyBot,1632.68,2
5,518,norman,1632.46,2
5,998,LordSuperKing,1625.12,2
5,1054,JimmyBotZ,1618.38,2
5,832,muravev,1617.42,2
5,275,Lissy,1616.2,2
5,340,MechaShark,1615.51,2
5,718,Mulebot,1606.99,2
5,1050,onlyfans,1602.06,2
5,1082,Dasyatis,1592.49,2
5,960,BigDaddy,1592.48,2
5,970,TheLAW,1592.44,2
5,1008,Creepy_canon,1587.72,2
5,201,QueenBot,1582.53,2
5,827,smokinggunbot,1580.14,2
5,1089,WorkingAsIntended,1577.33,2
5,981,KoB,1565.97,2
5,516,27turtles,1562.16,2
5,1058,JimmyBotP,1560.5,2
5,699,Clicadinha,1558.85,2
5,1079,JimmyBotT,1557.77,2
5,836,muravevTerran,1551.68,2
5,1007,SharkGull,1550.35,2
5,858,Crawler,1547.19,2
5,1065,MindMatrix,1546.43,3
5,1081,ArtZerg,1546.29,3
5,779,oberon,1525.26,3
5,940,Princess-Mika-Test,1524.92,3
5,1057,DoopyBot-Test,1522.23,3
5,1038,PolyMorph,1521.73,3
5,930,SiriusBot,1517.41,3
5,977,Siriusly,1511.54,3
5,708,Princess-Mika,1510.81,3
5,1023,MY_SCRIPTING_SON,1506.19,3
5,721,49Terrapins,1498.73,3
5,1042,Creepy_duo_canon,1498.19,3
5,1044,DoopyBot,1482.89,3
5,939,RustyNikolaj,1481.53,3
5,1085,AgoraLord,1478.74,3
5,943,puck,1477.45,3
5,341,gotest,1467.36,3
5,112,Tyckles,1466.17,3
5,876,GenesisLotus,1463.37,3
5,809,PrimordialOrigin,1448.8,3
5,117,Chance,1446.73,3
5,729,Alexa,1423.89,3
5,352,Belzebuth,1409.29,3
5,1052,Starlight,1362.55,3
5,1026,WildLupo,1339.08,3
5,1078,LoremIpsum,1328.5,3
5,1049,TheCatSC2Bot,1171.57,3
6,248,Eris,2027.09,1
6,730,Deimos,1978.77,1
6,496,Zozo,1917.23,1
6,49,MicroMachine,1865.8,1
6,115,BenBotBC,1837.61,1
6,223,DominionDog,1835.67,1
6,966,ArgoBot,1796.28,1
6,446,Xena,1795.66,1
6,517,VeTerran-revived,1784.25,1
6,1030,who,1784.14,1
6,40,SharpenedEdge,1773.03,1
6,262,whalemean,1762.69,1
6,168,sharkbot,1732.15,1
6,346,Sharkling,1696.44,1
6,961,AvocaDOS,1695.16,1
6,1045,tito,1687.16,1
6,732,GPT,1685.84,1
6,901,clone,1683.81,1
6,998,LordSuperKing,1682.75,1
6,167,TyrT,1682.21,1
6,510,PhantomBot,1682.02,1
6,340,MechaShark,1676.57,1
6,718,Mulebot,1675.11,1
6,357,12PoolBot,1665.75,1
6,1079,JimmyBotT,1657.13,1
6,338,smallBly,1655.41,1
6,797,WickedBot,1650.38,1
6,518,norman,1644.95,1
6,1060,WildFire,1641.87,2
6,275,Lissy,1635.79,2
6,832,muravev,1627.99,2
6,759,BotTato,1627.26,2
6,605,nida,1625.92,2
6,970,TheLAW,1623.39,2
6,637,72Tortoises,1622.4,2
6,1080,JimmyBot,1619.97,2
6,201,QueenBot,1607.08,2
6,953,ZeratulsRevengeTest,1605.93,2
6,720,PiG_Bot,1604.52,2
6,940,Princess-Mika-Test,1598.86,2
6,960,BigDaddy,1597.75,2
6,1081,ArtZerg,1592.25,2
6,1054,JimmyBotZ,1591.75,2
6,1008,Creepy_canon,1586.96,2
6,1058,JimmyBotP,1585.29,2
6,930,SiriusBot,1582.17,2
6,971,Nothing,1581.51,2
