round,bot_a,bot_b,outcome_a,duration_minutes,category,division,elo_diff
1,943,1065,1.0,5.51,normal,1,32.58
1,943,970,0.0,9.55,normal,1,15.58
1,943,167,0.0,9.55,normal,1,14.08
1,943,960,1.0,7.48,normal,1,18.01
1,943,49,1.0,9.02,normal,1,33.22
1,943,1030,0.0,10.27,normal,1,15.92
1,943,797,0.0,10.04,normal,1,20.88
1,943,1078,1.0,6.35,normal,1,64.46
1,943,517,0.0,11.45,normal,1,4.51
1,943,1079,0.0,11.23,normal,1,4.44
1,721,1080,0.0,8.75,normal,1,25.33
1,721,526,1.0,8.46,normal,1,5.43
1,721,720,0.0,13.43,normal,1,7.34
1,721,1007,0.0,12.03,normal,1,22.1
1,721,510,0.0,10.97,normal,1,7.19
1,721,1049,1.0,26.83,normal,1,50.83
1,721,201,0.0,10.2,normal,1,26.38
1,721,961,0.0,9.8,normal,1,25.9
1,721,1065,0.0,12.81,normal,1,10.63
1,721,970,1.0,10.46,normal,1,37.48
1,721,167,0.0,9.29,normal,1,49.24
1,721,960,0.0,9.43,normal,1,36.28
1,721,49,0.0,8.18,normal,1,66.72
1,721,1030,0.0,9.66,normal,1,81.07
1,721,797,0.0,8.93,normal,1,43.65
1,721,1078,1.0,9.82,normal,1,16.42
1,721,517,0.0,12.74,normal,1,57.07
1,721,1079,1.0,10.17,normal,1,64.4
1,1080,526,1.0,9.56,normal,1,5.47
1,1080,720,1.0,8.04,normal,1,8.99
1,1080,1007,0.0,7.48,normal,1,21.8
1,1080,510,0.0,11.25,normal,1,7.25
1,1080,1049,1.0,8.82,normal,1,65.89
1,1080,201,0.0,14.47,normal,1,25.65
1,1080,961,0.0,19.46,normal,1,25.41
1,1080,1065,1.0,14.78,normal,1,10.27
1,1080,970,1.0,7.95,normal,1,4.72
1,1080,167,1.0,13.33,normal,1,32.97
1,1080,960,1.0,7.88,normal,1,4.67
1,1080,49,0.0,12.05,normal,1,19.16
1,1080,1030,0.0,10.34,normal,1,34.26
1,1080,797,0.0,10.43,normal,1,1.28
1,1080,1078,1.0,11.9,normal,1,74.94
1,1080,517,0.0,14.2,normal,1,14.19
1,1080,1079,0.0,9.56,normal,1,6.34
1,526,720,1.0,11.35,normal,1,11.57
1,526,1007,0.0,9.88,normal,1,2.58
